[2026-06-27T11:59:53.683Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (2ms, 340606B)
[2026-06-27T11:59:53.683Z] GET http://localhost:4178/assets/js/data.js → 200 (2ms, 47293B)
[2026-06-27T11:59:53.683Z] GET http://localhost:4178/assets/js/charts.js → 200 (2ms, 15865B)
[2026-06-27T11:59:53.683Z] GET http://localhost:4178/assets/js/components.js → 200 (2ms, 13597B)
[2026-06-27T11:59:53.684Z] GET http://localhost:4178/assets/js/shell.js → 200 (1ms, 17726B)
[2026-06-27T11:59:53.732Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T12:00:21.694Z] GET http://localhost:4178/park-list.html → 200 (1ms, 17262B)
[2026-06-27T12:00:21.699Z] GET http://localhost:4178/assets/css/theme.css → 200 (7ms, 27802B)
[2026-06-27T12:00:21.699Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T12:00:21.700Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T12:00:21.700Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (12ms, 340606B)
[2026-06-27T12:00:21.700Z] GET http://localhost:4178/assets/js/data.js → 200 (12ms, 47293B)
[2026-06-27T12:00:21.700Z] GET http://localhost:4178/assets/js/charts.js → 200 (12ms, 15865B)
[2026-06-27T12:00:21.701Z] GET http://localhost:4178/assets/js/components.js → 200 (11ms, 13597B)
[2026-06-27T12:00:21.702Z] GET http://localhost:4178/assets/js/shell.js → 200 (17ms, 17726B)
[2026-06-27T12:00:21.760Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T12:01:18.518Z] GET http://localhost:4178/park-list.html → 200 (4ms, 17262B)
[2026-06-27T12:01:18.530Z] GET http://localhost:4178/assets/css/theme.css → 200 (6ms, 27802B)
[2026-06-27T12:01:18.530Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T12:01:18.530Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (5ms, 1029203B)
[2026-06-27T12:01:18.535Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (3ms, 340606B)
[2026-06-27T12:01:18.535Z] GET http://localhost:4178/assets/js/data.js → 200 (3ms, 47293B)
[2026-06-27T12:01:18.535Z] GET http://localhost:4178/assets/js/charts.js → 200 (3ms, 15865B)
[2026-06-27T12:01:18.536Z] GET http://localhost:4178/assets/js/components.js → 200 (2ms, 13597B)
[2026-06-27T12:01:18.536Z] GET http://localhost:4178/assets/js/shell.js → 200 (4ms, 17726B)
